Аилазааратә гәыԥ архиагақәа	Настройки сообщества
Аилазааратә гәыԥ ацҳамҭақәа	Сообщения сообщества
Анҵамҭақәа ҿыцқәа рацәоума?	Много новых записей?
Атуризми ахәмарра-ччарақәеи	Туризм и развлечения
Аҽаҵаҩҩра аиҭашьақәыргылара	Возобновить подписку
Иаҭахым, ажәамаӡа исоухьеит	Не надо, код получен
Егьырҭ амаҵзурақәа рҟны аԥшаара	Поиск в других сервисах
Ишәыдаҳныҳәалоит иааиуа Ашықәс ҿыц!	С наступающим Новым годом!
Ирку аилазааратә гәыԥқәа рҿы анҵамҭақәа	Записи в закрытых сообществах
Аиҿцәажәаҩцәа мамзаргьы ацҳамҭақәа рыԥшаара	Поиск сообщений или собеседников
Азин змада ари авидео аҿы ажәеиларкка ааныжьра?	Кто может комментировать это видео?
Шәара ишәылшоит аԥкра змам хыԥхьаӡарала авидеофаилқәа реиқәрхара шәдаҟьаҿы.	Вы можете хранить неограниченное количество видеофайлов.
Аԥшьы Шәеилазааратә гәыԥқәа ртауарқәа рахь анеирҭа амоуп	Приложению доступны товары ваших сообществ
Агәылаҵақәа ирҭагалоу аҳасабырба астатус аԥсахра	Изменение статуса отчёта из закладок
Аилазааратә гәыԥ авидеонҵамҭақәа рахь ацҵара	Добавить в видеозаписи Сообщества
Амаҵзура шәҵакырадгьыл аҟны ахархәара амаӡам	Сервис недоступен в вашем регионе
Дарбан сҭоурыхқәа аҭак риҭаларц измоу алшара	Кто может отвечать на мои истории
Аилазааратә гәыԥ авидеонҵамҭа ахә ршьеит	Оценили видеозапись сообщества
Акрызҵазкуа асаламшәҟәқәа шәызнеиӡом	Вам не придут важные письма
Ахәмарра иацҵоуп аилазааратә гәыԥахь	Игра добавлена в сообщество
Ишиашоу ицоу адырраҭарақәа ВКонтакте	Прямые трансляции ВКонтакте
Аилазааратә гәыԥ аҭак ахә ршьеит	Оценили ответ сообщества
Анеирҭа иаҿакӡам уеб-камера аҟны	Нет доступа к веб-камере
Иҟалар зылшоз алахәылацәақыҟаӡам	Нет возможных участников
Аилазааратә гәыԥ ацҳамҭақәа:	Сообщения сообщества:
Аҭауар иқәхоуп аҭиира ҟынтә.	Товар снят с продажи.
Ацҳамҭа аилазааратә гәыԥ рзы	Сообщения сообществам
Иашәырба шәара шәеимадарақәа	Укажите ваши контакты
Ахәмарра анеирҭа амоуп шәықәҿыҭрақәа аҭакқәа рзы рахь	Игре доступны ваши оповещения об ответах
Аномери аԥошьҭеи рышьақәырӷәӷәара	Подтвердить номер и почту
Афильмқәа, амузыка, адырраҭарақәа	Фильмы, музыка, программы
Аҵыхәтәантәи ақәҿыҭрақәа цәыргоуп	Показаны последние ответы
41 123 ҩык ирымоуп азҿлымҳара	Интересно 41 123 людям
Ажәабжьқәа реишьҭагылашьа ҿыц	Новый порядок новостей
Ари ахатә аилазааратә гәыԥоуп	Это частное сообщество
Асахьаҟынтәи ажәамаӡа ҭажәгал	Введите код с картинки
Шәхатәыхьӡи шәмаӡажәеи ҭашәҩа	Введите логин и пароль
Авидеонҵамҭақәа рыхьӡынҵа	Список видеозаписей
Адаҟьа ахыԥхьаӡараҭҵаарҭа	Статистика страницы
Аелеқтроника насгьы аудио	Электроника и аудио
Ажәеиларкка аҳәааҭагалара	Экспорт комментария
Аҭаацәаратә ҭагылазаашьа:	Семейное положение:
Ахьӡынҵа еиқәаҵәа ҭацәуп.	Чёрный список пуст.
Ахьӡынҵеиҭаҳәагахь ацҵара	Добавить в плейлист
Ацҳамҭақәа аҩызцәа рҟынтә	сообщения от друзей
Иалышәха аилазааратә гәыԥ	Выберите сообщество
Иахьа асааҭ 15:00 рзы МСК	Сегодня в 18:00 МСК
Агәыԥ аҿы атемақәа макьана иҟаӡам.	В сообществе пока нет тем.
Араҟа шәыуадаҩра азгәашәҭар алшоит	Опишите проблему подробнее
Сыхьӡынҵеиҭаҳәагақәа рҟнытә аныхра	Удалить из моих плейлистов
Ажәамаӡа қәҿиарала еиқәырхоуп.	Пароль успешно изменён.
Аԥошьҭа аҭыӡҭыԥ шьақәырӷәӷәоуп	Адрес почты подтверждён
Виргинтәи адгьылбжьахақәа, ЕАШ	Виргинские острова, США
Авидеонҵамҭа аилазааратә гәыԥ аҟнытә иныхуп	Видеозапись удалена из сообщества
Аԥшранҵақәа аилазааратә гәыԥ аҭӡамц аҿы	Фотографии на стене сообщества
сҩызцәа зегьы, абарҭ рыда.	всем друзьям, кроме.
Агәынамӡара мап ацәкупнено	Возражение отклонено
Аилазааратә гәыԥ ВКонтакте	Сообщество ВКонтакте
Ақәҿыҭрақәа рахь аҽаҵаҩҩра	Уведомлять о записях
Ақьачақьқәа зегьы раарԥшра	Показать все стикеры
Амаҵзура иазку аинформациа	Информация о сервисе
анеирҭа иарбан аамҭазаалак	доступ в любое время
Анеирҭа иарбан аамҭазаалак	Доступ в любое время
Зегь раԥхьа шәыбжьы шәҭиы!	Проголосуйте первым!
абжьылда аномер абан-бӷьыцаҿ иҟоуп.	номер телефона в бан-листе.
Аилазааратә гәыԥ ацҳамҭақәа рвиџьет	Виджет сообщений сообщества
Аилазааратә гәыԥқәа алахәцәа мацара	Только участники сообщества
Еизыжәга асиужетқәа аҭоурых аҟынтәи	Собирайте сюжеты из историй
Иреиӷьу аҭауарқәа алкааны ишәымаӡам	У вас нет избранных товаров
Аҳәынҭқарра ахадареи аполитикеи	Правительство и политика
Шәыҟаз ВКонтакте ауснагӡақәа рхырхарҭаҿы	Будьте в курсе планов ВКонтакте
Шәара шәеилазаараҿы макьана алацәажәарақәа ыҟаӡам	В вашем сообществе пока нет обсуждений
Аԥсахрақәа аиқәхара иамуит, ԥыҭраамҭак ашьҭахь игәашәҭа ҽазнык.	Не удалось сохранить изменения, попробуйте позже.
Ажәабжьқәа адаҟьақәа рҟынтәи раныхра	Исключать новости от страниц
Араҟа макьана ажәеиларккақәа ыҟаӡам.	Здесь пока нет комментариев.
Ааԥхьарақәа шәҩызцәа рҟынтә	Приглашения от друзей
Аилазааратә гәыԥ ахь ацҵара	Добавить в сообщество
Ашықәс ҿыцтәи агәалаҟазаара	Новогоднее настроение
Аилазааратә гәыԥ аҟынтәи ацҳамҭақәа аиура	Получать сообщения от сообщества
Авакансиа ахь аҭахҳәага азышьҭра	Подать заявку на вакансию
Азҵааранҵа ихадароу ахь ииагоуп.	Опрос помещен на главную.
Аиааира шәгеит,Ишәыдаҳныҳәалоит!	Поздравляем, Вы победили!
Шәҿаҵа аиқәырхараҿы агха ҟалеит.	Ошибка сохранения заказа.
Авиџьет «Аилазааратә гәыԥ ацҳамҭақәа»	Виджет «Сообщения сообщества»
Аилазааратә гәыԥахь ахынҳәра	Вернуться к сообществу
Амодератор ажәеиларкка иҭара	Комментарий модератору
Ахымҩаԥгашьа ашьақәырӷәӷәара	Подтверждение действия
Иазҿлымҳақәо авидеонҵамҭақәа	Популярные видеозаписи
Аԥшьы Шәеилазааратә гәыԥқәа ртауарқәа рахь анеирҭа амазаауеит	Приложению будут доступны товары ваших сообществ
Ауаҩы-бызкаҭаҳа ақалақь ихьчоит ҳәа дҽыжәлеит !	Человек-Паук уже спешит спасти город!
Иван Алексеев ишиашоу ицо атранслиациа далагеит	Иван Алексеев начал прямую трансляцию
Ианышәҵа шәхархәага аҟнытә 6-хыԥхьаӡарак змоу акод уи ашьақәыргыларазы.	Введите 6-значный код из приложения для генерации кодов.
Ажәамаӡа ишәхашҭыма мамзаргьы шәзымҭалаӡои?	Забыли пароль или не можете войти?
Ахархәаҩ макьана имаӡам ахьӡынҵеиҭаҳәагақәа	У пользователя пока нет плейлистов
Шәхатә дыррақәа рахь ахәмарра анеирҭа амазаауеит	Игре будут доступны ваши личные данные
Агәымшәареи аҽазҵәылхреи	Смелость и упорство
Аилазааратә гәыԥ алахәҩы	Участник сообщества
Амузыкарҳәаҩы ахь аиасра	Перейти к музыканту
Анҵамҭа иҭашьақәыргылара	Восстановить запись
Анҵамҭақәа зыгьы рарбара	Показать все записи
анҵамҭақәа рахь ахынҳәра	вернуться к записям
Арлахҿыхрақәеи аԥсшьареи	Развлечения и отдых
Аҭаҭын ахара азыҟазаашьа	Отношение к курению
Ацхыраара аҟнытә азҵаара	Вопрос от Поддержки
Аҵыхәтәантәи амчыбжь ала	За последнюю неделю
ВКонтакте ахь аиқәырхара	Сохранить ВКонтакте
Иахьа агәалашәаратә мшуп	Сегодня День Памяти
Шәыҽшьашәықәырӷәӷәахьеит	Вы уже авторизованы
Ахәмарра анеирҭа амоуп аилазааратә гәыԥ анаԥхгара ахь	Игре будет доступно управление сообществом
Аилазааратә гәыԥ аҿы азнагара	Поделиться в сообществе
Аилазааратә гәыԥқәа рнаԥхгара	Управление сообществами
Ахьӡынҵа еиқәаҵәахь архынҳәра	Вернуть в чёрный список
Ахьӡынҵа еиқәаҵәахь аҭагалара	Занести в чёрный список
Иашәырба ажәла мамзаргьы ахьӡ	Введите имя или фамилию
Хаҭалатәи ацҳамҭақәа рымацара	Только личные сообщения
Шәҿаҵа аҟаҵараҿы агха ҟалеит.	Ошибка создания заказа.
Шәыззыӡырҩахьоу рҟнытә аныхра	Удалить из прослушанных
Аилазааратә гәыԥ архиагақәа еиқәырхоуп.	Категории сообщества сохранены.
Ари асаит аҟнытә иарбанзаалак адаҟьа аԥшаара	Искать любые страницы с этого сайта
Агәражәгаҵәҟьоума ишышәҭаху абри шәвидеонҵамҭа аныхра?	Вы точно хотите удалить этот видеоматериал?
Агха ҟалеит ақәыԥшыла ашьаҭа аҟынтә аныхраан.	Ошибка при удалении шаблона из базы.
Аилагарақәа реилазаара агәыԥ ажәабжьқәа рханы	Блок обсуждений над новостями группы
Ааигәа иҟоу анҵамҭақәа рыла аԥшаара	Искать по записям неподалёку
Ишәызку адыррақәа цәахызаауеит	Ваши данные будут скрыты
Абыржәыҵәҟьа аҭак ҟарҵоит	Ответят прямо сейчас
