АПЛАНЕТА АДГЬЫЛ	% ПЛАНЕТА ЗЕМЛя
Шәаԥыџьаԥ зықәгылам акаршәра дуқәа, ҵыхәаԥҵәара змам адәқәа Иҿаҳа-дагәоу аҭынчра.	Обширные безлесные равнины, бескрайние просторы, звенящая тишина.
Аха ари азаҵәра уажьоит.	Но ощущение пустоты - это иллюзия.
Ҳапланетаҿы иҟоу акаршәрақәа роуп адгьыл иқәу ҵҩа змам аԥстәқәа афатә рызҭо.	Равнины нашей планеты дают пищу самым многочисленным скоплениям животных на земле.
Акаршәрақәа рҿы иҟоу аԥсҭазаара еиқәырханы изку аамҭа иазымшьуа иџьашьахәу аҵиаақәа роуп.	Основой жизни на равнинах является удивительная жизненная форма растений с таким простым названием 'трава...
Аҳаскьын. Ҳаскьынла, злаки, ҵиаахкыла ихҟьоуп Адунеи аҿы иааҟоу адгьылқәа рыбжеиҳарак.	Травами, злаками и разнотравьем покрыта четверть всех земель в мире.
Акаршәра дуқәа	ВЕЛИКИЕ РАВНИНЫ
Амҩаԥгаҩ ДЕВИД АТТЕНБОРО	ведущий ДЭВИД АТТЕНБОРО
Абнақәа гыларазы илеиуа ақәа ахьазымхо аҭыԥқәа рҿы зехьынџьара аҳәырҭақәа ыҟоуп.	пастбища существуют везде, где дожди выпадают в количестве, недостаточном для роста лесов.
Дәҳәыԥшқәак адгьыл дуӡӡақәа рыҵакны ирымоуп.	Некоторые луга занимают огромные площади.
Ацентртә-азиатә бнаршәыра мацарақәа ирыҵаркуа аҭыԥ адгьыл еикәшара зегьы хыџьара ишаны хәҭак аҟара артәоит.	Протяжённость одной только центрально-азиатской степи составляет однутреть окружности земного шара.
Уажәы ԥхынроуп, Ашьауардынқәа ааԥсарада хыхь аҳауа иалоуп, уантә ҵаҟа адгьыл аҿы хашәалак шԥаҳԥыхьамшәари ҳәа.	сейчас лето, и орлы беспрестанно парят в восходящих потоках, высматривая добычу на земле.
Монголиа араионқәа рҿы акыр инаскьаганы, имҩаԥысуеит Апланетаҿы иҟоу массала ахҵәара дуқәа руакы.	В отдалённых районах Монголии происходит одна из самых массовых миграций на планете.
Есышықәса имҩаԥысуа ари аџьашьахә збахьоу дмаҷуп.	Мало кто видел это удивительное ежегодное явление.
Дзерен захьӡу монголиатәи антилопа.	Монгольские антилопы дзерен.
ри аԥстәы хкы ахыԥхьаӡара инықәырԥшшәа ҩ-миллионк рҟынӡа ыҟоуп.	По приблизительным подсчётам здесь обитает два миллиона особей.
Иҟоу ахыԥхьаӡараҵәҟьа аӡәгьы издырӡом.	А точную цифру не знает никто.
Аӡеренқәа раамҭа еиҳарак абарҭ адәкаршәрақәа рҿы ирхыргоит.	Большую часть времени дзерены рассредоточены по этим просторам,
Аха шықәсык ахьтә знык, аҿиара ианалаго, рызегьы рҽеидыркылоит.	но раз в году, в сезон размножения, они собираются вместе.
Шамахамзар, арҭ рызегьы рыхшара роураны иҟоуп 10 мш рыҩныҵҟала	Почти все самки произведут на свет потомство в течение ближайших 10 дней.
Иаарту адәышкәаӷьазрақәа рҿы аԥстәқәа ахшароураан рызегьы еицуп – ас аҿиара еиҳа ишәарҭаӡам.	На открытых равнинах совместные роды - это самый безопасный способ размножения.
Ашәарҭара шәыблакы ианырбо Агыгшәыг, шамахамзар, аԥстәқәа рааигәа изнеиӡом.	Когда за опасностью следят сотни пар глаз, хищникам практически невозможно подкрасться к стаду незаметно.
Ара чықьгьы ыҟам, ҵлагьы, ыҟам, ҳаскьынуп ҽыҵәахырҭас иҟоу.	Здесь нет ни кустов, ни деревьев, единственное, в чём можно укрыться - это трава.
