Апланета адгьыл паротиа,	ПЛАНЕТА ЗЕМЛя
Шәышықәса раԥхьа Адгьыл иқәынхоз ауааԥсыра рхыԥхьаӡара миллиардки бжаки рҟынӡа инаӡон.	сто лет назад население Земли составляло полтора миллиарда человек.
Иахьа ари адгьыл уашәшәыра иқәынхо ҳхыԥхьаӡара 6 миллиардк иреиҳауп.	А сегодня на хрупкой планете нас больше шести миллиардов.
Аха убас шакәугьы Адгьыл аҿы иҟоуп Уаҩы ишьапы ахьымнеиц аҭыԥқәа.	И, тем не менее, на Земле ещё остались места, где не ступала нога человека.
Ари асериаҿы шәара ижәбоит кьыс змамкәа инханы иҟоу, ибнаку аԥсабара.	В этой серии вы увидите последние нетронутые уголки дикой природы, какими вы их ещё никогда не видели.
Аполиус аҟнытә аполиус аҟынӡа	ОТ ПОЛЮсА ДО ПОЛЮсА
Амҩаԥгаҩ ДЕВИД АТЕНБОРО	ведущий ДЭВИД АТТЕНБОРО
Шәазхәыц мрада иҟоу адунеи зеиԥшроу.	Представьте себе мир без солнца.
Аимператортә пингвин рбаӷьқәа ахьынхогьы абас аӡын бааԥсқәа ахьыҟоу Антарктикатәи адунеи аҿоуп.	самцы императорских пингвинов живут как раз в таком мире.
Ара есымша хәлоуп, Аҳауагьы 70 градус рҟынӡа илбаауеит.	В самых суровых условиях антарктической зимы. Здесь всё время темно, а температура достигает минус семидесяти градусов по Цельсию.
Апингвинқәа егьырҭ аԥстәқәа реиԥш Аҵаа иацәыбналаӡом.	Пингвины не бегут от морозов, как другие животные.
Мал дук еиԥш рыкәтаӷьқәа рыхьчоит ршьапқәа ирықәҵаны.	Каждый из них охраняет сокровище - яйцо, которое они носят на ногах и согревают под складками брюшка.
Ара фатәгьы ыҟам, ӡгьы,	Здесь нет ни пищи, ни воды,
Апингвинқәа амра даҽа ԥшьымыз ирбараны иҟаӡам.	и пингвины не увидят солнца ещё 4 месяца.
Даҽа ԥстәык иахҭнагаӡом ари иахҭнаго.	Ни одно другое животное не сталкивается с таким суровым испытанием.
Амра Антарктика ааныжьны аҩадатәи аполиус аҟны игылоит.	Покинув Антарктику, солнце восходит над северным полюсом.
Уажәы хәажкыроуп, ԥшьымызтәи ахәлара аанкыланы, Амра Арктика арлашеит.	сейчас март, и солнце возвращается в Арктику, прекращая здесь 4 месяца темноты.
Амшә шкәакәа шьҭа ицәаӡам.	Белая медведица уже не спит.
Уи алӡынрак аҭыҩра иҭатәан,	Она провела в берлоге всю зиму,
Иара ацәырҵра ааԥынра шааиз атәы аҳәоит.	и её появление знаменует начало весны.
Мызла изҭатәаз аҭыҩра иааҭыҵны Ахәы иқәҳәазаны аҿаанахоит, ахәы арыцқьаразакәу, баша ихәмаруоу, издыруада...	Выйдя из многомесячного заточения она съезжает со склона на боку, то ли для того, чтобы почистить мех, то ли просто ради удовольствия.
Иаҵоу амышәҳәарақәа раԥхьаӡакәны Адәы инықәыԥшит, амш шара рбеит.	Её детёныши впервые видят новый, светлый мир.
Ран рыԥхьоит, аха анаара иахьаҿоу раԥхьатәи ашьаҿақәа рыҟаҵара уадаҩуп.	Мать зовёт их, но на крутом склоне нелегко делать первые шаги.
Амышәҳәарақәа амла иакуеит, ран ашҟа иццакуеит.	Медвежата голодны, они спешат к матери.
Ари амш азы, акрырҿамҵакәа инкыланы иаман, Ҩымыз раԥхьа иҵааршәыроу аҭыҩраҿы иит, илашәын, идагәан, уа фатәыс ирымазгьы хшын.	Она специально задержала их кормление в этот особенный день, теперь она готова дать им молоко - единственную пищу, которую они получали в ледяной берлоге, где они родились 2 месяца назад слепыми и глухими.
Шьҭа акрырҿанаҵарц ирыԥхьеит. Ран ахаҭа хәымыз раахыс акгьы амфаӡац, акапан абжа агхахьеит.	сама медведица не ела уже целых 5 месяцев и потеряла половину своего веса.
Шьҭа иалоу ашша амышәҳәарақәа ирҿанаҵо ахш ахь ииасуеит азы ахш жәпахоит.	Теперь она перерабатывает остатки жировых запасов в молоко для своих медвежат.
Ааԥынтәи амра аԥхарра аанагоит, аха амышә азы уи ауадаҩрақәагьы ацуп.	Весеннее солнце не только приносит тепло, но и создаёт медведице одну проблему.
Ихҵааланы иҟоу амшын ӡыҭуа иалагоит, Арахь уоуп амышәҳәарқәа ирҿанаҵо атиуленқәа ахьҭоу.	Оно вызываеттаяние морских льдов, а ведь там она охотится на тюленей, которые нужны ей для кормления детёнышей.
Амшәҳәарқәа ран аҵааԥҽра иалагаанӡа уахь анеира иахьӡароуп.	Медведица должна попасть туда, пока лёд не начал ломаться.
Аха макьана аҳауа 30 градус ихьшәашәароуп, Амышәҳәарақәа аҭыҩра иҭатәазар еиӷьуп.	Но пока ещё температура воздуха минус 30, и медвежатам лучше укрыться в берлоге.
Аҭыҩра иҭыҵижьҭеи 6 мыш ҵуеит, ааԥынгьы есааира иццакуеит.	с момента выхода из берлоги прошло 6 дней, и весна стремительно наступает.
Аха иара уажәгьы ргәырҽанӡамкәа асыҭәҳәа аацәырҵыр алшоит.	Но даже сейчас снежная буря может налететь без предупреждения.
Ари ақәраҿы амышәҳәархәыҷқәа лассы ахьҭа рылалоит, Аҭыҩраҿы иҟазар еиҳа ирзеиӷьуп.	В этом возрасте малыши могут легко переохладиться, и в берлоге им было бы комфортнее, но мать держит их на улице, чтобы они оставались активными.
Иара ахаҭа акрымфадара иахҟьаны амчқәа каԥсеит, Ара фатә ыҟаӡам азы.	Она сама ослабела от голода, ведь на ледяных склонах нет пищи.
Амшын аҿы аҵаа макьаны иӷәӷәоуп, аха уигьы аамҭалоуп.	На море лёд пока ещё крепкий, но это ненадолго.
Ажәабатәи амш азы амышәҳәарқәа ран аҭыҩра ааныжьны Километраки бжаки иаманы ицеит.	На десятый день мать увела их на полтора километра от берлоги.
Урҭ шьҭа рԥышәара аамҭа ааит.	Пришла пора подвергнуть их испытанию.
Дара рхы иақәгәыӷуа иҟалахьеит азы ирзеилкаауам ан зырхыццакуа.	Они вполне уверены в себе, хотя и не понимают, почему мать торопит их.
Шьҭа ран амышәҳәарқәа аныҟәара рылшоит ҳәа аӡбеит, Уи агьаамҭоуп.	Наконец, мать решает, что они готовы к путешествию, и как раз вовремя.
Аԥшаҳәаҟынтә километрақәак бжьоуп, ара аҵаа аԥҽра иалагеит. Амышәарқәа ран атиуленқәа ирышьҭалар алшоит.,	В нескольких километрах от берега лёд уже начал ломаться. Теперь медведица может начать охоту на тюленей,
аха ари амышәҳәарқәа рзы даара ишәарҭоуп.	но она ведёт своих детёнышей в новый и опасный мир.
Аԥхьатәи ашықәс азы, шамахамзар, амышәҳәарқәа рыбжа Аҵааҿы иҭахоит.	Почти половина всех детёнышей погибает на первом году жизни среди льдов.
Аԥхын уахынлагьы ҽынлагьы ишоуп. Аҵаа ҳәазо иалагоит.	Летом наступает круглосуточный полярный день, льды приходят в движение.
Аладаҟа, арктикатәи атундраҿы, уарла-шәарла акәымзар, асы цахьеит.	Южнее, в арктической тундре, снег почти сошёл.
Канада аҩадаҟа инаскьагаӡаны аԥсабараҿы иааҟоу арыцҳарақәа руакы мҩаԥысуеит.	Крайний север Канады, здесь разыгрывается одна из величайших драм в природе.
Есышықәса х-миллионк рҟынӡа Карибл ҳәа изышьҭоу аҩадатәи абынҽақәа абнақәа ааныжьны арктикатәи атундрахь ицоит.	Каждый год три миллиона северных оленей карибу мигрируют из лесов в арктическую тундру.
Арҭ зегьы хыҵны ианцо уамашәа иубоит хыхь, аҳауахьтә урзыԥшыр.	Масштабы огромного стада можно по достоинству оценить лишь с воздуха.
Џьоукы аҳәырҭа ҿыцқәа ирышьҭаланы шықәсык абжьара хышә километра инареиҳаны иныҟәоит.	В поисках новых пастбищ некоторые стада проходят более трёхтысяч километров в год.
Ари адунеи аҿы зегь раасҭа хара ицо ԥстәқәоуп.	Это - самая протяжённая миграция среди всех наземных животных планеты.
Абынҽақәа цоит иаанымгылаӡакәа.	Олени идут без остановок.
Ҿыц ииз абынҽақәа ианииз актәи амш инаркны ршьапы иагьықәгылоит. Иҩуагьы иалагоит.	Новорождённые оленята встают на ноги и начинают бегать уже в день своего рождения.
Аха ари ашьамаҟатә гәыԥ дуқәа рхала ицаӡом.	Но эти огромные стада путешествуют не одни.
Аполиартә бгақәа.	Полярные волки.
8-10 раҟара бга рҽеидкыланы, абынҽақәа ирышьҭагыланы рҿынархоит.	стаи волков по 8 - 10 особей следуют за оленями по пятам.
Урҭ ҿыц ииз абынҽақәа роуп изышьҭоу.	И они голодны. Их интересуют новорождённые оленята.
Рҽеидкыланы ирыжәлоит – ас ашьамаҟа еиҳа ишәоит.	Лобовая атака - лучший способ посеять в стаде панику.
Еиԥхьытта, еимпны идәықәлоит, шьҭа абгақәа урҭ акакала ирымԥахьашәар акгьы рылдыршом.	стадо разбегается, теперь волкам легче выбрать жертву.
Иахьеилауаҭыруаз аԥшқақәа руакы ан иацәхҟьеит.	В хаосе один из детёнышей отстал от матери.
Аҽацә хәыҷуп, аха абга иацәцар алшоит, ишьацәхнымслар.	Оленёнок мал, но он может убежать от волка, если только не споткнётся.
Макьана иеиҟараны иааиуеит.	Пока их шансы ещё равны.
