RU1	ПЛАНЕТА
RU2	ЗЕМЛя
RU3	Пустыни
RU4	занимают
RU5	треть
RU6	поверхности
RU7	суши
RU8	Земли.
RU9	Огромные
RU10	рубцы
RU11	на
RU12	лице
RU13	планеты
RU14	кажутся
RU15	безжизненными,
RU16	но,
RU17	как
RU18	ни
RU19	странно,
RU20	это
RU21	не
RU22	так.
RU23	Во
RU24	всех
RU25	пустынях
RU26	всегда
RU27	была
RU28	и
RU29	продолжается
RU30	жизнь.
RU31	ПУсТЫНИ
RU32	ведущий
RU33	ДЭВИД
RU34	АТТЕНБОРО
RU35	Не
RU36	во
RU37	всех
RU38	пустынях
RU39	жарко.
RU40	Ветра
RU41	из
RU42	сибири,
RU43	дующие
RU44	со
RU45	скоростью
RU46	80
RU47	километров
RU48	в
RU49	час,
RU50	несут
RU51	снег
RU52	в
RU53	Монгольскую
RU54	пустыню
RU55	Гоби.
RU56	Летом
RU57	температура
RU58	повышается
RU59	здесь
RU60	до
RU61	50
RU62	градусов
RU63	по
RU64	Цельсию,
RU65	а
RU66	зимой
RU67	понижается
RU68	до
RU69	минус
RU70	40.
RU71	Это
RU72	-
RU73	одно
RU74	из
RU75	самых
RU76	суровых
RU77	мест
RU78	на
RU79	планете.
RU80	Мало
RU81	кто
RU82	из
RU83	животных
RU84	способен
RU85	выдерживать
RU86	подобные
RU87	перепады
RU88	температуры.
RU89	Дикие
RU90	двугорбые
RU91	верблюды
RU92	-
RU93	бактрианы
RU94	-
RU95	принадлежат
RU96	к
RU97	числу
RU98	самых
RU99	редких
RU100	и
RU101	самых
RU102	выносливых
RU103	млекопитающих
RU104	на
RU105	планете.
RU106	Их
RU107	главная
RU108	проблема
RU109	-
RU110	недостаток
RU111	воды.
RU112	Особенно
RU113	зимой,
RU114	когда
RU115	все
RU116	скудные
RU117	запасы
RU118	влаги
RU119	превращаются
RU120	в
RU121	лёд.
RU122	Как
RU123	ни
RU124	странно,
RU125	снег
RU126	здесь
RU127	никогда
RU128	не
RU129	тает,
RU130	потому
RU131	что
RU132	воздух
RU133	слишком
RU134	холодный
RU135	и
RU136	слишком
RU137	сухой.
RU138	Поэтому
RU139	солнечные
RU140	лучи
RU141	превращают
RU142	снег
RU143	сразу
RU144	в
RU145	пар.
RU146	снег
RU147	испаряется.
RU148	Но
RU149	ведь
RU150	снег
RU151	-
RU152	это
RU153	единственный
RU154	источник
RU155	воды,
RU156	поэтому
RU157	верблюды
RU158	едят
RU159	снег.
RU160	В
RU161	других
RU162	условиях
RU163	верблюд
RU164	за
RU165	один
RU166	поход
RU167	к
RU168	водопою
RU169	может
RU170	выпить
RU171	200
RU172	литров
RU173	воды,
RU174	здесь
RU175	лучше
RU176	пить
RU177	понемногу
RU178	и
RU179	часто.
RU180	Ведь
RU181	избыток
RU182	снега
RU183	в
RU184	желудке
RU185	может
RU186	привести
RU187	к
RU188	гибели
RU189	животного.
RU190	Эти
RU191	верблюды
RU192	вынуждены
RU193	ограничиваться
RU194	10
RU195	литрами
RU196	жидкости
RU197	в
RU198	день.
RU199	Зато
RU200	зима
RU201	-
RU202	это
RU203	брачный
RU204	период.
RU205	Таким
RU206	необычным
RU207	концертом
RU208	самец
RU209	бактриана
RU210	привлекает
RU211	внимание
RU212	проходящих
RU213	мимо
RU214	самок.
RU215	Летом
RU216	верблюды
RU217	не
RU218	могут
RU219	уходить
RU220	далеко
RU221	от
RU222	водопоя,
RU223	но
RU224	сейчас,
RU225	когда
RU226	повсюду
RU227	лежит
RU228	снег,
RU229	в
RU230	поисках
RU231	партнёров
RU232	они
RU233	разбредаются
RU234	кто
RU235	куда.
RU236	сегодня
RU237	в
RU238	природе
RU239	осталось
RU240	меньше
RU241	тысячи
RU242	этих
RU243	исконных
RU244	обитателей
RU245	пустынь.
RU246	И
RU247	Гоби,
RU248	несмотря
RU249	на
RU250	всю
RU251	свою
RU252	суровость
RU253	-
RU254	это
RU255	их
RU256	последний
RU257	оплот.
RU258	Гоби
RU259	не
RU260	похожа
RU261	на
RU262	другие
RU263	пустыни
RU264	мира,
RU265	но
RU266	почему
RU267	пустыня
RU268	возникла
RU269	именно
RU270	здесь?
RU271	Тому
RU272	есть
RU273	одна
RU274	простая
RU275	и
RU276	веская
RU277	причина
RU278	-
RU279	Гималаи.
RU280	Облака,
RU281	которые
RU282	ветры
RU283	гонят
RU284	с
RU285	юга,
RU286	наталкиваются
RU287	на
RU288	гигантский
RU289	барьер,
RU290	поднимаясь
RU291	вверх,
RU292	они
RU293	изливают
RU294	всю
RU295	свою
RU296	влагу
RU297	на
RU298	южные
RU299	склоны,
RU300	и
RU301	землям,
RU302	лежащим
RU303	с
RU304	другой
RU305	стороны,
RU306	почти
RU307	ничего
RU308	не
RU309	достаётся.
RU310	Пустыни
RU311	хорошо
RU312	видны
RU313	из
RU314	космоса.
RU315	Песчаные
RU316	барханы
RU317	в
RU318	сотни
RU319	километров
RU320	длиной
RU321	катятся
RU322	по
RU323	поверхности
RU324	земли.
RU325	При
RU326	полном
RU327	отсутствии
RU328	растительного
RU329	покрова
RU330	в
RU331	скальных
RU332	породах
RU333	обнажаются
RU334	странные
RU335	образования.
RU336	Африканская
RU337	пустыня
RU338	сахара
RU339	-
RU340	самая
RU341	большая
RU342	пустыня
RU343	в
RU344	мире.
RU345	Она
RU346	занимаеттерриторию,
RU347	равную
RU348	площади
RU349	соединённых
RU350	Штатов.
RU351	сахара
RU352	-
RU353	это
RU354	крупнейший
RU355	источник
RU356	песка
RU357	и
RU358	пыли
RU359	во
RU360	всём
RU361	мире.
RU362	Песчаная
RU363	буря
RU364	налетает
RU365	внезапно,
RU366	она
RU367	на
RU368	многие
RU369	дни
RU370	лишает
RU371	видимости
RU372	территорию
RU373	размером
RU374	с
RU375	Англию.
RU376	Но
RU377	одногорбые
RU378	верблюды,
RU379	дромодены,
RU380	не
RU381	останавливаются
RU382	даже
RU383	во
RU384	время
RU385	таких
RU386	бурь.
RU387	Тяжёлый
RU388	песок
RU389	поднимается
RU390	лишь
RU391	на
RU392	несколько
RU393	метров
RU394	над
RU395	землёй,
RU396	а
RU397	мелкая
RU398	пыль
RU399	уносится
RU400	ветром
RU401	на
RU402	высоту
RU403	5
RU404	километров.
RU405	Ураганный
RU406	ветер,
RU407	поднимающий
RU408	тонны
RU409	песчинок
RU410	-
RU411	вот
RU412	фактор,
RU413	который
RU414	формирует
RU415	все
RU416	пустыни.
RU417	Кожа
RU418	рептилий
RU419	покрыта
RU420	роговыми
RU421	чешуйками,
RU422	и
RU423	они
RU424	защищают
RU425	этих
RU426	животных
RU427	от
RU428	колючих
RU429	песчинок.
RU430	Для
RU431	насекомыхтакая
RU432	бомбардировка
RU433	может
RU434	привести
RU435	к
RU436	серьёзным
RU437	травмам.
RU438	Единственный
RU439	выход
RU440	-
RU441	уйти
RU442	под
RU443	землю.
RU444	Зарыться
RU445	в
RU446	песок.
RU447	Вихри,
RU448	кружась
RU449	и
RU450	вращаясь,
RU451	беспрестанно
RU452	перемещают
RU453	песок
RU454	и
RU455	создают
RU456	песчаные
RU457	барханы
RU458	и
RU459	песчаные
RU460	гряды.
RU461	Такие
RU462	песчаные
RU463	моря
RU464	могут
RU465	иметь
RU466	сотни
RU467	километров
RU468	в
RU469	поперечнике.
RU470	В
RU471	Намибии
RU472	ветры
RU473	создали
RU474	самые
RU475	высокие
RU476	барханы
RU477	в
RU478	мире.
RU479	Эти
RU480	барханы
RU481	достигают
RU482	высоты
RU483	300
RU484	метров.
RU485	Ветер
RU486	постоянно
RU487	сдувает
RU488	песчинки
RU489	с
RU490	гребней,
RU491	поэтому
RU492	движутся
RU493	только
RU494	верхушки
RU495	барханов.
RU496	Основной
RU497	массив
RU498	песка,
RU499	которые
RU500	образует
RU501	эти
RU502	барханы,
RU503	не
RU504	перемещался
RU505	на
RU506	протяжении
RU507	пяти
RU508	тысяч
RU509	лет.
RU510	Немногие
RU511	породы
RU512	способны
RU513	выстоять
RU514	под
RU515	постоянным
RU516	напором
RU517	ветра
RU518	пополам
RU519	с
RU520	песком.
RU521	Эти
RU522	известняковые
RU523	скалы
RU524	находятся
RU525	в
RU526	белой
RU527	пустыне,
RU528	в
RU529	Египте,
RU530	но
RU531	им
RU532	уже
RU533	осталось
RU534	недолго
RU535	существовать.
RU536	Они
RU537	неумолимо
RU538	выветриваются
RU539	и
RU540	превращаются
RU541	в
RU542	песок.
RU543	сейчас
RU544	по
RU545	морю
RU546	песка
RU547	разбросаны
RU548	островки
RU549	рыхлой
RU550	породы.
RU551	Эти
RU552	остроконечные
RU553	пирамиды
RU554	высотой
RU555	до
RU556	100
RU557	метров,
RU558	когда-то
RU559	были
RU560	частью
RU561	сплошного
RU562	каменистого
RU563	плато.
RU564	Песок,
RU565	летящий
RU566	вместе
RU567	с
RU568	ветром,
RU569	в
RU570	конце
RU571	концов,
RU572	уничтожит
RU573	и
RU574	их.
RU575	Под
RU576	действием
RU577	беспощадного
RU578	ветра
RU579	облик
RU580	пустыни
RU581	постоянно
RU582	меняется,
RU583	но
RU584	одно
RU585	остаётся
RU586	неизменным.
RU587	Неизменно
RU588	жаркое
RU589	солнце.
RU590	солнечная
RU591	жара
RU592	и
RU593	способность
RU594	солнца
RU595	испарять
RU596	влагу
RU597	оказали
RU598	огромное
RU599	влияние
RU600	на
RU601	строение
RU602	и
RU603	привычки
RU604	всех
RU605	обитателей
RU606	пустынь.
RU607	солнце
RU608	несёт
RU609	жизнь,
RU610	но
RU611	это
RU612	и
RU613	потенциальный
RU614	убийца.
RU615	Большие
RU616	рыжие
RU617	кенгуру
RU618	должны
RU619	с
RU620	этим
RU621	считаться.
RU622	сейчас,
RU623	пока
RU624	солнце
RU625	стоит
RU626	низко
RU627	повода
RU628	для
RU629	беспокойства
RU630	нет,
RU631	но
RU632	ситуация
RU633	быстро
RU634	меняется.
RU635	Австралия
RU636	-
RU637	самый
RU638	засушливый
RU639	континент
RU640	планеты
RU641	с
RU642	очень
RU643	высокими
RU644	дневными
RU645	температурами.
RU646	Каждый
RU647	час
RU648	температура
RU649	повышается
RU650	на
RU651	5
RU652	градусов
RU653	по
RU654	Цельсию.
RU655	скоро
RU656	жара
RU657	достигнет
RU658	критической
RU659	точки.
RU660	Любой
RU661	кенгуру,
RU662	оставшийся
RU663	без
RU664	укрытия,
RU665	рискует
RU666	перегреться
RU667	и
RU668	погибнуть.
RU669	На
RU670	солнце
RU671	температура
RU672	у
RU673	поверхности
RU674	Земли
RU675	достигает
RU676	уже
RU677	70
RU678	градусов.
RU679	К
RU680	полудню
RU681	солнце
RU682	уже
RU683	палит
RU684	так
RU685	интенсивно,
RU686	что
RU687	кенгуру
RU688	вынуждены
RU689	искать
RU690	укрытие.
RU691	В
RU692	тени
RU693	они
RU694	защищены
RU695	от
RU696	прямого
RU697	солнечного
RU698	излучения,
RU699	но
RU700	температура
RU701	тела
RU702	всё
RU703	равно
RU704	продолжает
RU705	подниматься.
RU706	Поэтому
RU707	они
RU708	облизывают
RU709	передние
RU710	лапы
RU711	в
RU712	тех
RU713	местах,
RU714	где
RU715	кровеносные
RU716	сосуды
RU717	располагаются
RU718	под
RU719	самой
RU720	кожей.
RU721	И
RU722	слюна,
RU723	испаряясь,
RU724	охлаждает
RU725	кровь.
RU726	Тепловое
RU727	изображение
RU728	показывает,
RU729	насколько
RU730	эффективен
RU731	этот
RU732	процесс.
RU733	Голубой
RU734	цвет
RU735	-
RU736	это
RU737	более
RU738	холодные
RU739	части
RU740	тела.
RU741	Кактолько
RU742	слюна
RU743	высыхает,
RU744	процесс
RU745	приходится
RU746	начинать
RU747	сначала,
RU748	и
RU749	это
RU750	сильно
RU751	истощает
RU752	запас
RU753	жидкости
RU754	в
RU755	организме
RU756	кенгуру.
RU757	Даже
RU758	в
RU759	тени
RU760	земля
RU761	раскалена,
RU762	как
RU763	сковородка,
RU764	поэтому
RU765	кенгуру
RU766	раскапывают
RU767	верхний,
RU768	горячий
RU769	слой
RU770	песка,
RU771	чтобы
RU772	добраться
RU773	до
RU774	более
RU775	прохладных
RU776	его
RU777	слоёв.
RU778	И
RU779	воттак,
RU780	держась
RU781	в
RU782	тени,
RU783	регулируя
RU784	температурутела
RU785	при
RU786	помощи
RU787	слюны,
RU788	кенгуру
RU789	способны
RU790	пережить
RU791	самое
RU792	жаркое
RU793	время
RU794	суток
RU795	без
RU796	теплового
RU797	удара.
RU798	Но
RU799	для
RU800	большинства
RU801	животныхтакой
RU802	стратегии
RU803	для
RU804	выживания
