Абираҟ ҳаргылап	Установить флажок
Алхра	Выбрать
Иаарттәуп	Открыть
Иарктәуп	Закрыть
Актив азыура	Активировать
URL ҵабыргым, ҭагалашьа амам.	URL недействителен и не может быть загружен.
Ҿыц инаҳашьҭып	Отправить заново
Адокумент апринтер аҿгараан ма заантәи ақәыпшылараан аиҭакшьа амам.	Во время печати или предварительного просмотра документ не может быть изменён.
Адаҟьа, шәзхәаԥшырц ишәҭахәы аарԥшышьа амам, избанзар иамоу акомпрессиатә форма иашм ма иадгылом.	Страница, которую вы пытаетесь просмотреть, не может быть показана, так как она использует неверную или неподдерживаемую форму компрессии.
Шәылаԥш зхыжәгарц ишәҭаху адаҟьа аарԥшызар ҟалом, уи аартраҿы ишәарҭоу афаилхкы алоуп. Ауеб-саит зтәу шыҽимаданы ашәарара шыҟоу адырра ишәҭ.  	Страница, которую вы пытаетесь просмотреть, не может быть отображена, так как она содержит тип файла, небезопасный для открытия. Пожалуйста свяжитесь с владельцами веб-сайта и проинформируйте их об этой проблеме.
<еилкаам>	<неизвестно>
Ацраԥшьы аус аҳаруып	Запустить приложение
Аинформациа ыҟоуп асаит  %S ахархәаҩцәа ркомпиутерқәа рыжәларазы рхы иадырхәоит ҳәа. Ашәарҭаратә шәырхиагақәа ирыбзоураны уи аанкылоуп.	Имеется информация о том, что сайт %S используется для атак на компьютеры пользователей. В соответствии с вашими настройками безопасности он был заблокирован.
Адырраҭара ыҟоуп %S анапхыцәгьара иатәу авеб-саит ишатәу ала. Уи ахархәаҩцәа мыцҳәарыла рфинанстәи рхатәы информациеи рыцәгара иазкуп.   	Имеется информация о том, что %S является мошенническим веб-сайтом, созданным для того, чтобы обманным путем выманить у пользователей информацию личного или финансового характера.
Имазеиуп, Ирхьиоп	Готово
Афаил аарттәуп	Открыть файл
%S змоу асахьақәа аанкылатәуп	Блокировать изображения с %S
Азин аҭатәуп	Разрешить
Архиарақәа	Настройки
Архынҳәра	Отменить
Ахатәы дыррақәа аныхтәуп…	Удалить личные данные…
Уажә ианыхтәуп	Удалить сейчас
Адаҟьа ацҵатәуп агәлаҵахьы	Добавить страницу в закладки
Ишьақәырӷәӷәоуп: %S	Подтверждено: %S
Ари авеб-саит ахаҭара иазкны аинформациа ыҟам.	Информация о подлинности этого веб-сайта отсутствует.
Идырым	(неизвестен)
Агха	Ошибка
%S аҟынтә зегь ақәгара	Удалить всё из %S
Адомен %S шеибго ақәгара	Удалить домен %S целиком
Аиқәҳәаларҭа ақәгара	Удалить узел
Адомен ақәгара	Удалить домен
Агәлаҵа апанель	Панель закладок
(Иҭацәуп)	(Пусто)
аҟынтә	с
Ирҿыцтәуп	Обновить
Агҽанызаара ҟашәҵала,  агәылаҵа рацәа аартраан %S аусара анарпсыҽуа	Предупреждать, когда открытие множества вкладок может привести к замедлению работы %S
Ахадаратә	Имя:
Ажурнал	Журнал
Аҭагаларақәа	Загрузки
Ахҵа	Метка
Иар&ктәуп	За&крыть
Ахадаратә	Основные
Агәылаҵақәа	Вкладки
Аҵакыра	Содержимое
Ацраԥшьы	Приложения
Лымкаала	Приватность
Ахьчара	Защита
Иацҵаны	Дополнительно
Аусурҭатә еишәа	Рабочий стол
Афаил аиқәырхара	Сохранить файл
Ихархәатәуп (%S)	Использовать %S
Ихархәатәуп %S (ишыҟоу еиԥш)	Использовать %S (по умолчанию)
Ихархәатәуп ҽакы…	Использовать другое…
Ажәабжь ҿыцқәа рлента	Лента новостей
Авидео-подкаст	Видео-подкаст
Аподкаст	Подкаст
Ихархәатәуп %S ( %S аҿы)	Использовать %S (в %S)
Аԥхьахаԥш %S аҿы	Предпросмотр в %S
Аиқәҳәаларҭа	Узел:
Адомен:	Домен:
Асессиа анҵәамҭазы	в конце сессии
Асессиахь азин аҭатәуп (инашьҭтәуп, днашьҭтәуп)	Разрешить на сессию
https://mail.google.com/mail/?extsrc=mailtourl=%s	https://mail.google.com/mail/?extsrc=mailto&url=%s
Ацҵара 	Продолжить
Аиҭагаҩцәа:	Переводчики:
&brandFullName; иазкны	О &brandFullName;
Апрект алахәылацәа.	Участники проекта
&lt; &brandFullName; иазкны	&lt; О &brandFullName;
аверсиа	версия
©1998–2008 Апроект алахәылацәа. Азинқәа зегь хьчоуп. Firefoxи алоготипқәа Firefox хәҳаҳәҭратә маркақәоуп Mozilla Foundation аза. Азинқәа зегь хьчоуп.	©1998–2008 Участники проекта. Все права защищены. Firefox и логотипы Firefox являются торговыми марками Mozilla Foundation. Все права защищены.
Ауаатәыҩс зылшара алазгалаз	Люди внесшие свой вклад
апроект Mozilla ахь 	в проект Mozilla.
Иаԥхьатәуп	Прочитать
алицензиазы адыраҭара 	информацию о лицензии
ари аалыҵ аҿы ахархәара змоу	используемой для этого продукта.
аҭыжьымҭазы азгәаҭа	примечания к выпуску
ари аалыҵ аверсиа	этой версии продукта.
Ахәаԥшра	Просмотреть
аибыҭашьа аконфигурациа	конфигурацию сборки
