1 АПЛАНЕТА АДГЬЫЛ	ПЛАНЕТА ЗЕМЛя
2 адунеи аҿы иҟоу ацәҳәыра бааԥсқәа	Оба полюса нашей планеты покрыты льдом. Это самые обширные и самые суровые пустыни в мире.
3 араҟеиԥш адунеи аҿы даҽаџьара ашықәс аамҭақәа ас лассы-лассы 4 рҽеиҭаркӡом.	Больше нигде в мире смена времён года не происходиттак резко, как здесь.
5 Уи иахҟьаны есышықәса асыԥсақәа жәылоит инаскьоит	В результате, каждый год льды наступают и отступают.
6 Аполиусқәа рҿы иҟоу аԥсҭазаара абри аамҭа аиҭакра иахьыԥшуп.	Вся жизнь на полюсах зависит от этого цикла.
7 9	ЛЕДяНЫЕ МИРЫ
Раԥхьатәи аныҟәаҩцәа аполиус рхы ақәкны ианцоз, 10 ирбеит идырым аҭыԥқәа рышҟа уназгоз 11 абарҭ асыԥсатә хан дуқәа.	Когда первые полярные исследователи двигались к полюсу, они обнаружили эти гигантские ледяные соборы, обозначавшие вход на неизведанную территорию.
12 Арҭ иҵааршәу аргыларақәа ираҩсны ианцоз, 13 аныҟәаҩцәа хәыцырҭас ирыман, 14 ҳаԥхьаҟа ԥсабаратә џьашьахәыс иаҳзыԥшузеишь / иаҳбарызеишь ҳәа?	Проходя мимо этих возвышающихся айсбергов, путники гадали, какие неземные пейзажи ждут их впереди?
15 Аполиус иазааигәахацыԥхьаӡа, Асыԥса/анаҟәоу есааира иазҳауан,	По мере продвижения к полюсу, льда становилось всё больше,
16 Аха аҵыхәтәан раԥхьа иаацәырҵыз ари адунеи џьашьахәуи дареи реиԥылара 17 иазыҟазҵашаз уаанӡа изакәызаалак акы рымбеит./рымԥыхьамшәеит.	но ничто не могло подготовить их к встрече с ледяным миром, который, наконец, предстал их взорам.
18 Терра инкогнито – идырым Адгьыл.	Терра инкогнито - неведомая земля.
19 Ҳапланета аладатәи аполиус аҿы ишьҭоуп аконтинет Антарктида, 20 Уи Иеиду Аштатқәа ирыҵаркуа ахышәара-ҵышәара аасҭа иеиҳауп.	На южном полюсе нашей планеты расположен континент Антарктида, площадь его превышает площадь соединённых Штатов.
21 Ара ишьҭоуп ҳапланетаҿы иҟоу асыԥса зегьы аҟнытә 90%.	Здесь сосредоточено 90% всего льда нашей планеты.
22 Асыԥса дунеи аҿы ԥсҭазаара ыҟамшәа убоит 23 ааԥынра ааиаанӡа.	Ледяной мир кажется абсолютно безжизненным, пока не приходит весна.
24 Адель ҳәа изышьҭоу апингвинқәа.	Пингвины Адели.
25 Иццакуеит.	Торопятся.
26 Аамҭа дәықәлеит.	Время пошло.
27 Ааԥынтәи асыӡыҭра иазымԥшӡакәа 28 апингвинқәа аладаҟа иццакуеит асыԥса/анаҟәоу иҿанаҳәаз амшын иқәланы.	Вместо того, чтобы ждать весеннего таяния снегов, пингвины спешат на юг по скованному льдом морю.
29 Урҭ арахь иаауеит аҿиаразы, 30 аполиус азааигәара аԥхынра убриаҟара икьаҿуп, 31 асыӡыҭра иалагаанӡа рыҭрақәа рҿы анеира иахьӡароуп.	Они идут сюда для размножения, полярное лето настолько коротко, что они должны быть на гнездовьях до начала оттепели.
32 Асыԥса/анҟәоуӡыҭра ианалага, аԥстәқәа еиҳа-еиҳа алада инаскьалар рылшоит,	По мере схода льдов, животные могут продвигаться на юг всё дальше.
33 Антарктика аӡқәа фатәыла ибеиоуп,	Воды Антарктики богаты пищей,
34 Убри аҟнытә арахь иеиханы иаауеит зеиуа хкы уҭаху аԥстәқәа.	поэтому отовсюду сюда стекаются самые разные животные.
35 Хыԥхьаӡара рацәала антарктикатәи апингвинқәа рыкәтаӷьқәа хырҵаразы 36 аҟәарахьы иӡхыҵуеит.	Большие стаи антарктических пингвинов выходят на берег, чтобы отложить яйца.
37 Иарбанызаалак ԥсаатәк аҵааҿы акәтаӷь шьҭанаҵаӡом, 38 убри аҟнытә ацаҟьақәа ара хәарҭа дууп.	Ни одна птица не захочет откладывать яйца прямо на лёд, поэтому скалы представляют большую ценность.
39 Иреиӷьу аҭыԥқәа рзы иҵегьы аҩада ухалар ҟалоит.	Ради лучших мест можно взобраться и повыше.
40 Хара имгакәа ацаҟьақәа рықәцәқәа цәаԥшьхоит, 41 зқьыла ара зыҭра зҳаз апингвинқәа руац иашәуеит.	Вскоре верхушки скал окрашиваются в розовый цвет от помёта десятка тысяч гнездящихся пингвинов.
42 Шамахамзар, сыԥсала ихҟьоу адгьыл аҿы, 43 ацаҟьа цәҳәқәа аӡи аҵиаақәеи ахьыҟоу ҭыԥуп ҳәа иуԥхьаӡар алшоит.	Только на земле, которая почти полностью покрыта льдом, голые скалы могут считаться оазисом.
