Иласуп	Быстрый
Хәыда-ԥсадоуп	Бесплатный
Ишәарҭам	Мощный
Иӷәӷәоуп	Безопасный
**Telegram** агьырҭ раасҭа иаҳа иласуп.	**Telegram** доставляет сообщения быстрее\nлюбого другого приложения.
**Telegram** хәыда-ԥсадоуп. Наӡаӡа. Ӡыргарада.	**Telegram** бесплатный навсегда. Без рекламы.\nБез абонентской платы.
**Telegram** ацәгьархәыцыҩцәа шәеицәажәарақәа иацәахьчоит.	**Telegram** защищает Вашу переписку \nот злоумышленников.
Ҳалагап	Начать общение
Аимадара хазыԥшуеит...	Ожидание сети…
Ажәла (ихарҭәаатәым)	Фамилия
Дҭоуп	в сети
ааигәа дҭан	был(а) недавно
иҳаҩсыз амчыбжь азы дҭан	был(а) на этой неделе
иҳаҩсыз амзазы дҭан	был(а) в этом месяце
aаигәа дҭамызт	был(а) давно
%1$s aнапаҵаҩ	%1$s подписчик
%1$s aнапаҵаҩцәа	%1$s подписчиков
Аицәажәара алх	Выбор чата
Аацҳамҭа	Сообщение
Аацҳара ҿыц шәзааит	У Вас новое сообщение
Асахьа	Фотография
Аимадара	Контакт
Шәара	Вы
Ахархәаҩ ихьӡ	Имя пользователя
Аныхра	Удалить
Aимадара ацҵара	Добавить контакт
Асахьа аныхра	Удалить фото
Аҭоурых рыцқьара	Очистить историю
Аԥыхра	Отмена
Зегь ныхны аҭыҵра	Удалить чат
Aрхиага	Настройки
Аҭыҵра	Выход
Aбжьы ацҵара	Вкл. уведомления
Ахкьыԥхьаара	Копировать
Азхьарԥш ахкьыԥхьаара	Копировать ссылку
\nАԥшаара	Поиск
Бзиала у(б)аабеит!	Чатов пока нет
Аканал аҭыҵреи	Покинуть канал
Aгәыԥ аҭыҵреи	Покинуть группу
Аҭак ҟаҵара	Ответить
%1$s аилак асахьа ныи(л)хит	%1$s удалил(а) фото группы
Аилак шәалҵит	Вы покинули группу
Аилак еиҿкаауп	Канал создан
Азаацҳага асахьа ныхуп	Фотография канала удалена
Абжьынҵа	Голосовое сообщение
Ааиӷәатәи	Недавние
