MySQL (JDBC)	MySQL (JDBC)
MySQL (ODBC)	MySQL (ODBC)
MySQL (Native)	MySQL (Native)
Database	Адырқәа рбаза
Date&Time	Арыцхәи аамҭеи
Financial	Афинанстәқәа
Information	Аинформациа
Logical	Алогикатәқәа
Mathematical	Аматематикатәқәа 
Array	Амассив
Statistical	Астатистикатәқәа
Spreadsheet	Аелектронтә таблица
Text	Атеқст
Add-in	иаҿакхо амодуль
Insert	Ибжьаргылатәуп
Delete	Ианыхтәуп
Cut	Игәылԥҟатәуп
Drag and Drop	Аиагара
Move	Ииагатәуп
Copy	Акопиа ахыхтәуп
Attributes	Атрибутқәа
Attributes/Lines	Атрибутқәа/Аҵәаӷәақәа
Column Width	Аиҵагыла аҭбаара
Optimal Column Width	Аиҵагыла иоптималу аҭбаара
Row height	Ацәаҳәа аҳаракыра
Optimal Row Height	Ацәаҳәа иоптималу аҳаракыра
Fill	Аҭарҭәара
Merge	Еидҵатәуп
Split	Еихшатәуп
AutoFormat	Автоформат
Replace	Иԥсахтәуп
Input	Аҭагалара
View Details	Иаарԥштәуп адетальқәа
Hide details	Иҵәахтәуп адетальқәа
Group	Агәыԥ
Ungroup	Аргәыԥра ықәгатәуп
AutoOutline	Автоструктура
Sort	Асортра
Filter	Афильтр
Change Database Range	Иԥсахтәуп адырқәа рбаза адиапазон
Importing	Аимпорт
Refresh range	Ирҿыцтәуп адиапазон
List names	Ахьӡқәа рыхьӡынҵа
Consolidate	Еидҵатәуп
Use scenario	Ихархәатәуп асценари
Create scenario	Иаԥҵатәуп асценари
Edit scenario	Иԥсахтәуп асценари
Apply Cell Style	Ихархәатәуп абларҭа астиль
Edit Cell Style	Иԥсахтәуп адаҟьа астиль
Apply Page Style	Ихархәатәуп адаҟьа астиль
Edit Page Style	Иԥсахтәуп адаҟьа астиль
Trace Dependents	Ихыԥшу абларҭақәа
Trace Error	Иаарԥштәуп агхақәа
Remove all Traces	Иқәгатәуп ахыцқәа зегьы
Mark invalid data	Иазгәаҭатәуп ииашам адырқәа
Refresh Traces	Ирҿыцтәуп ахыцқәа
Modify chart data range	Иԥсахтәуп адырқәа рдиапазон
Original Size	Ахалагаратә шәагаа
Fit to Cell Size	Абларҭа ашәагаа ала
Update Link	Ирҿыцтәуп азхьарԥш
Unlink	Иқәгатәуп азхьарԥш
Insert Link	бжьаргылатәуп агиперзхьарԥш
Insert Array Formula	Ибжьаргылатәуп амассив аформула
Insert Comment	Ибжьаргылатәуп акомментари
Delete Comment	Ианыхтәуп акомментари
Show Comment	Иаарԥштәуп акомментари
Hide Comment	Иҵәахтәуп акомментари
Show All Comments	Иаарԥштәуп акомментариқәа зегьы
Hide All Comments	Иҵәахтәуп акомментариқәа зегьы
Edit Comment	Иԥсахтәуп акомментари
Decrease Indent	Ирмаҷтәуп ахьаҵ
Increase Indent	Ирдуутәуп ахьаҵ
Protect sheet	Иқәыргылатәуп абӷьыц ахьчага
Unprotect sheet	Иқәгатәуп абӷьыц ахьчага
Protect document	Иқәыргылатәуп адокумент ахьчага
Unprotect document	Иқәгатәуп адокумент ахьчага
Print range	Акьыԥхьра адиапазон
Delete Page Breaks	Ианыхтәуп адаҟьақәа реимҟьарақәа
Change Scale	Иԥсахтәуп амасштаб
Move Page Break	Ииагатәуп адаҟьа аимҟьара
Edit range names	Иԥсахтәуп адиапазонқәа рыхьӡқәа
Change Case	Арегистр
Import	Аимпорт
%PRODUCTNAME Calc	%PRODUCTNAME Calc
Delete data?	Ианыхтәума адырқәа?
Unable to insert rows	Иауам ацәаҳәақәа рҭаргылара
No operations to execute	Иҟаӡам инагӡатәу аоперациа
Error while importing data!	Адырқәа римпорт агха!
Grouping not possible	Аргәыԥра ауам
Ungrouping not possible	Аргәыԥра ақәгара ауам
Cell merge not possible if cells already merged!	Иауам уаанӡа еидҵаз абларҭақәа ҽазнык реидҵара!
Goal Seek succeeded. Result: 	Апараметр азалхра хыркәшоуп. Алҵшәа: 
Grand	Азеиԥш еихшьала
Result	Алҵшәа
Spellcheck	Аорфографиа агәаҭара
AND	AND
OR	OR
Sheet	Абӷьыц
- move to end position -	- ииагатәуп анҵәамҭахь -
The data range can not be deleted.	Адырқәа рдиапазон аныхра ауам.
Total	Аихшьала
Data	Адырқәа
Selected: $1, $2	Иалкаауп: $1, $2
Column	Аиҵагыла
Row	Ацәаҳәа
Page	Адаҟьа
Page %1	Адаҟьа %1
Load document	Иҭагалатәуп адокумент
Save document	Адокумент аиқәырхара
Invalid sheet reference.	Абӷьыц ахь изымуа азхьарԥш.
Fill Row...	Ацәҳәақәа рҭарҭәара...
Thesaurus	Атезаурус
Fill Sheets	Ихарҭәаатәуп абӷьыцқәа
A range has not been selected.	Адиапазон алкааӡам.
This name already exists.	Ари аҩыза ахьӡ ыҟоуп.
Scenario	Асценари
Sum	Аицҵалыҵ
Selection count	Иалкаауп адиапазонқәа
Count	Ахыԥхьаӡара
CountA	Ахыԥхьаӡара2
Average	Ибжьаратәу аҵакы
Median	Амедиана
Max	Амаксимум
Min	Аминимум
Product	Ашьҭыхлыҵ
Var	Адисперсиа
No chart found at this position.	Адиаграмма ари апозициаҿ иԥшаам.
(empty)	(иҭацәуп)
Invalid print range	Акьыԥхьра зымуа адиапазон
Page Style	Адаҟьа астиль
Header	Хыхьтәи аколонтитул
Footer	Ҵаҟатәи аколонтитул
Text Attributes	Атеқст атрибутқәа
Protected cells can not be modified.	Иауам рыԥсахра ихьчоу абларҭақәа.
Document opened in read-only mode.	Адокумент аартуп аԥхьара мацаразы.
You cannot change only part of an array.	Иауам аԥсахра амассив ахәҭак.
Err:	Агха:
Error: Division by zero	Агха: ноль ала ашара
Error: Wrong data type	Агха: Ииашам адырқәа ртип
Error: Not a valid reference	Агха: изымуа азхьарԥш
Error: Invalid name	Агха: изымуа ахьӡ
Error: Invalid numeric value	Агха: изымуа ахьыԥхьаӡаратә ҵакы
Error: Value not available	Агха: аҵакы мҩаркуп
#ADDIN?	#ADDIN?
#MACRO?	#АМАКРОС?
Error: Macro not found	Агха: амакрос ԥшаам
Internal syntactical error	Аҩныҵҟатәи асинтаксистә гха
Error: Invalid argument	Агха: изымуа аргумент
Error in parameter list	Апараметрқәа рсиа аҟны агха
Error: Invalid character	Агха: изымуа асимвол
Error: Operator missing	Агха: аоператор ыҟаӡам
Error: Variable missing	Агха: аҽеиҭак ыҟаӡам
Error: Formula overflow	Агха: аформула аура дуцәоуп
Error: String overflow	Агха: асимволқәа рцәаҳәа аура дуцәоуп
Error: Internal overflow	Агха: аҩныҵҟатәи аҭәцәара
Error: Array or matrix size	Агха: амассив ма аматрица рышәагаа
