Апланета адгьыл	ПЛАНЕТА ЗЕМЛя
Агәаӷьреи ашәарҭареи шацугьы, ҳапланетаҿы зегь раасҭа иҳараку аҭыԥқәа рышҟа ихалоит ауаа.	На свой страх и риск люди поднимаются на самые высокие вершины планеты.
Џьоукы ашьха аҳаракырақәа рахь ианхала, уи ҳаиааит, ҳнапаҿы иааҳгеит ҳәа ирыԥхьаӡоит,	Некоторые считают, что взбираясь на большую гору, они покоряют её,
аха ара зегьы ҳсасцәоуп. Зегьы ҳзы итәыму,	но, на самом деле, мы здесь только гости.
ари адунеи хьшәашәаҿы.	Это - холодный, чуждый нам мир.
Ашьхақәа.	ГОРЫ
Амҩаԥгаҩ Девид Аттенборо	ведущий ДЭВИД АТТЕНБОРО
Ари зынӡа даҽакуп. Апланетаҿы зегь раасҭа илаҟәу, Зегь раасҭа иахьшоуроу аҭыԥ.	А это другая крайность одного из самых низменных и жарких мест на планете.
Иара амшын азқәаҟнытә 150 метра аҳаракыраҟны ишьҭоуп.	Оно находится на высоте 150 метров ниже уровня моря.
Аха ара макьана ашьхақәа рышьақәгылара апроцесс аанымгылац.	Но здесь идёт процесс горообразования.
Атыҩша ҵәыҵәырақәа рыла иҭәу аӡиақәа ирҳәоит адгьыл аҵаҟа аҵаулараҿы, авулкантә процессқәа аилашра ишаҿу.	Озёра, заполненные серной кислотой, говорят о том, что глубоко под землёй идут бурные вулканические процессы.
Ари Данакил аҭаҳароуп. Ефиопиа иҟоуп.	Это - впадина Данакиль в Эфиопии,
Адгьыл ацәа аиҟәыршьшьарҭа ду аҿы, маҷ-маҷ аидыҵра иаҿу архитектоникатә плитақәа ҩба реиҿагыларҭаҿы ишьҭоуп.	она находится в гигантской трещине земной коры, на стыке двухтектонических плит, которые медленно отодвигаются друг от друга.
Аҵантә, абри аиҟәжәарҭахьтә ибжьыҵны хыхь ихалоит алава, аки-аки иеишьҭаргыланы авулкан ҿыцқәа зхылҵуа.	Через этот разлом из недр на поверхность поднимается лава, создавая цепь молодых вулканов.
Авулкан Ерте Але. Апланетаҿы зегьы раасҭа мчы змоу.	Вулкан Эрте Але - самый активный вулкан на планете,
Ари авулкан аҭаҳараҿы иҟоуп иӡыҭыз алава зҭатәоу аӡиа. Уи шьҭа 100 шықәса иреиҳауп аилашра иаҿуижьҭеи.	в его кратере находится озеро расплавленной лавы, которое кипит уже больше 100 лет.
Анкьа зны абарҭ атектоникатә мчқәа роуп ишьақәзыргылаз Ефиопиатәи аҳаракырагьы.	Когда-то те же самые тектонические силы создали Эфиопское нагорье.
70 миллион шықәса раԥхьа абри аҭыԥ аҿы иҟан Данакила аҭаҳара аҵан ишьҭаз акаршәра еиужь.	70 миллионов лет назад на этом месте была плоская равнина, лежавшая на глубине впадины Данакиль.
Иӡыҭыз алава адгьыл аҵантә ихаланы, каршәра дуны ишьҭалеит, Уи аҭбаара 800 км рҟынӡа инаӡоит.	Расплавленная лава, поднимавшаяся из недр земли, образовала огромное плато шириной в восемьсот километров
Африкагьы хыбраҵас иахагылоу иароуп.	- крышу Африки.
Азқьышықәсақәа рыҩныҵҟала ақәеи аҵаақәеи идыршәыз алава зықәцәқәа ҵару аҩхаақәаны игылт.	За многие тысячелетия дожди и льды превратили застывшую лаву в остроконечные пики и каньоны.
