russianEDM	Электроника
russianВ карточку добавлены плейлисты:	В карточку добавлены плейлисты:
russianИз карточки скрыты плейлисты:	Из карточки скрыты плейлисты:
russianНовое название — «{val}».	Новое название — «{val}».
russianСовершайте покупки за голоса	Совершайте покупки за голоса
russianв играх 30 и 31 октября	в играх 30 и 31 октября
russianи участвуйте в розыгрыше	и участвуйте в розыгрыше
russian50 000 голосов!	50 000 голосов!
russianОтправить на модерацию	Отправить на модерацию
russianОкунись с головой	Окунись с головой
russianВ любимую музыку. За 149 рублей.	В любимую музыку. За 149 рублей.
russianНЫРНУТЬ	НЫРНУТЬ
russianЛето — маленькая жизнь	Лето — маленькая жизнь
russianПодбери к ней саундтрек.	Подбери к ней саундтрек.
russianНезабываемое лето	Незабываемое лето
russianПод жаркие хиты. За 149 рублей.	Под жаркие хиты. За 149 рублей.
russianОГОНЬ 🔥	ОГОНЬ 🔥
russianКакое лето без музыки!	Какое лето без музыки!
russianОформите подписку за 149 рублей	Оформите подписку за 149 рублей
russianНезабываемое лето	Незабываемое лето
russianЛетние хиты без рекламы	Летние хиты без рекламы
russianПод жаркие хиты. За 149 рублей.	Под жаркие хиты. За 149 рублей.
russianОГОНЬ 🔥	ОГОНЬ 🔥
russianИ с офлайн-доступом. За 149 рублей.	И с офлайн-доступом. За 149 рублей.
russianЗавершаем VK Fest	Завершаем VK Fest
russianЗабирай музыку за 1 рубль!	Забирай музыку за 1 рубль!
russianБез рекламы и ограничений	Без рекламы и ограничений
russianУспей оформить подписку и слушай музыку без рекламы и ограничений.	Успей оформить подписку и слушай музыку без рекламы и ограничений.
russian3 месяца музыки бесплатно	3 месяца музыки бесплатно
russianМузыка ВКонтакте и BOOM, а также скидки на	Музыка ВКонтакте и BOOM, а также скидки на
russianСитимобил, Delivery Club и другие сервисы	Ситимобил, Delivery Club и другие сервисы
russianМузыка ВКонтакте и BOOM, а также скидки	Музыка ВКонтакте и BOOM, а также скидки
russianна Ситимобил, Delivery Club и другие сервисы	на Ситимобил, Delivery Club и другие сервисы
russianПодписка на музыку ВКонтакте и BOOM, а также	Подписка на музыку ВКонтакте и BOOM, а также
russianскидки на Ситимобил, Delivery Club и другие сервисы	скидки на Ситимобил, Delivery Club и другие сервисы
russianОформите подписку и слушайте без ограничений	Оформите подписку и слушайте без ограничений
russianОформить	Оформить
russianПАРАБОЛА	ПАРАБОЛА
russianСлушать	Слушать
russianЕлена Темникова,	Елена Темникова,
russianОльга Бузова	Ольга Бузова
russianСтарт завтра!	Старт завтра!
russian7 дней, 70 артистов	7 дней, 70 артистов
russianМы начинаем!	Мы начинаем!
russianЗаждались вас	Заждались вас
russianVK Fest тут🎶	VK Fest тут🎶
russianА вы где?	А вы где?
russianТанцуем дома!	Танцуем дома!
russianС утра до вечера	С утра до вечера
russianVK Fest для вас	VK Fest для вас
russianОнлайн и бесплатно	Онлайн и бесплатно
russianУхожу красиво	Ухожу красиво
russianМузыка, онлайн-кинотеатр, скидки на такси	Музыка, онлайн-кинотеатр, скидки на такси
russianи доставку еды — в одной подписке	и доставку еды — в одной подписке
russianПоздравляем, вы подписались на Combo!	Поздравляем, вы подписались на Combo!
russianСлушайте музыку без ограничений	Слушайте музыку без ограничений
russianМузыка с Combo	Музыка с Combo
russianМузыка с Combo	Музыка с Combo
russianС 6 по 10 марта в каталоге будет размещаться подборка, посвящённая 8 Марта. Заявки на размещение в подборку {tagToggle}уже принимаются...{/tagToggle}	С 6 по 10 марта в каталоге будет размещаться подборка, посвящённая 8 Марта. Заявки на размещение в подборку {tagToggle}уже принимаются...{/tagToggle}
russianЧтобы попасть в подборку, нужно до 5 марта обновить обложку (добавить тематику праздника) и запустить тематические обновления в приложении. После этого {linkSupport}создать новый вопрос от приложения{/linkSupport} в поддержку с темой «Подборка 8 Марта». В вопросе необходимо указать, какие обновления были проведены.	Чтобы попасть в подборку, нужно до 5 марта обновить обложку (добавить тематику праздника) и запустить тематические обновления в приложении. После этого {linkSupport}создать новый вопрос от приложения{/linkSupport} в поддержку с темой «Подборка 8 Марта». В вопросе необходимо указать, какие обновления были проведены.
russianМы рассмотрим все заявки и добавим лучшие в подборку.{/tagMore}	Мы рассмотрим все заявки и добавим лучшие в подборку.{/tagMore}
russianДо четырёх месяцев подписки на музыку в подарок	До четырёх месяцев подписки на музыку в подарок
russianНовый альбом «Одиночная Психическая Атака»	Новый альбом «Одиночная Психическая Атака»
russianслушать	слушать
russianКонкурс VK Mini Apps 2019	Конкурс VK Mini Apps 2019
