Аицәажәара маӡа аԥыхуп	Секретный чат отменен
Aацҳамҭа ҿыц	Написать сообщение
Аилак ҿыц	Создать группу
Аиҿцәажәа маӡа аиҿкаара	Создать секретный чат
Аимадарақәа	Контакты
Агха ҟалеит	Произошла ошибка.
Аҩызцәа рааԥхьара	Пригласить
Аацҳамҭа...	Сообщение…
дыҩуеит	печатает
Аԥсахра	Изменить
Аныхра	Удалить
Анашьҭра	Переслать
Абжьы агырхара	Убрать звук
Aбжьы ацҵара	Вкл. звук
Аԥшаара	Поиск
Иахьыҟоу аҭыԥ	Геопозиция
Аимадара	Контакт
Аиҿцәажәа маӡа:	Секретные чаты — это:
Минуҭк 	1 минуту
Сааҭк	1 час
Асахьа	Фотография
Авидео	Видео
Афаил	Файл
Агха ҟалеит	Произошла ошибка
Aгәыԥ аҭыҵреи	Покинуть группу
Ашьҭра	Отправить
Агха ҟалеит 	Произошла ошибка.
Мап	Нет
Мышкы	1 дн.
Мчыбжьык	1 нед.
Аҭел	телефон
Aиҿцәажәа маӡа алагара	Начать секретный чат
Алагара	Начать
Иҿакуп	Вкл.
Аҿакы	Включить
Иаанкыл	Остановить
Ардырга	Уведомления
Абжьы	Звук
%@ аҽалархәҩы	%@ участник
%@ аҽалархәыҩцәа	%@ участников
Аимадара	Контакты
Шәара	Вы
Aрхиага	Настройки
Ардыргеи абжьи	Уведомления и звуки
Aцхыраара	Помощь
Telegram иазку азҵаарақәа	Вопросы о Telegram
Адыррақәеи агәынкылақәеи	Данные и память
Ари ахьӡ аӡәы и(л)тәуп.	К сожалению, это имя уже занято.
Ахьӡ %@ у(б)хы иау(бы)рхәар ҟалоит.	Имя %@ доступно.
Арыцқьара	Очистить
Амаӡара	Конфиденциальность
АМАӠАРА	КОНФИДЕНЦИАЛЬНОСТЬ
Реззегьы	Все
Аӡәгьы	Никто
АФОТОГРАФИА	ФОТО
АВИДЕО	ВИДЕО
Акод	Код проверки
Архиара	Настройки
Аҭак аҟаҵара	Ответить
Акод	Код
Азхьарԥш ахкьыԥхьаара	Скопировать ссылку
Ацхраара	Помощь
Ааиӷәатәи	Недавние
Азаацҳага ҿыц	Создать канал
Аканал аҭыҵреи	Покинуть канал
Аканал	канал
Алахәылацәа	Участники
Аканал	Канал
Еиҳау адырра	Подробнее
Aзашшра	Пожаловаться
Афотографиа	Фотография
\nАшәақәа	Музыка
Арыцкьара	Очистить
Иҭацәуп	Пусто
Саҭамзааит	Сожалеем
aнапхгаҩы	админ
Амхра	Открепить
Еиҭамҵуа аҵҳамҭа	Закреплённое сообщение
Ауаа	Люди
Агәыԥ алалара	Вступить в группу
Аимадарақәа	КОНТАКТЫ
Акажьра	Сбросить
Аԥсахра	Редактировать
Ишәзеиԥшу аилакқәа	Общие группы
Арӷәӷәара	Закрепить
Бзанҵа	Никогда
Ақалақь	Город
Атәыла	Страна
Ахьӡ	Имя
Аҭел	Телефон
Адкылара	Принять
Авидеонҵамҭа	Видеосообщение
Азхьарԥшқәа	Ссылки
Аԥсышәала	Продолжить на русском
Аурыс бызшәа	Русский
У(б)бызшәа алх	Выберите язык
Ицәуп	Выключено
Алахәылаҩ иԥшаара	Поиск участников
Иaлкаау	Избранное
Aимада(ра) аԥсахра	Изменить профиль
%@ aнапаҵаҩ	%@ подписчик
%@ aнапаҵаҩцәа	%@ подписчиков
Анапаҵаҩцәа	Подписчики
Аилак еицәажәарақәа	Группы
Аканалқәа	Каналы
%@ рҟынӡа	до %@
Аҟынтә	Начало
Аҟынӡа	Конец
АИМАДАРАҚӘА	КОНТАКТЫ
Aмаӡара аполитика	Политика конфиденциальности
Анаҩстәи	Дальше
Ажәла	Фамилия
Аҭел	мобильный
Ахада	главный
урысшәала	на русском языке
Аанкыл 	Остановить
Анагӡара	Продолжить
Аҿакpa	Включить
Aзҵаара	Опрос
Aзҵаара ҿыц	Новый опрос
Аҟаԥшь	Красный
Ашкәакәа	Белый
Аԥыхра	Отмена
Аиасра	Переключиться
Аимадарақәа	контакты
Агәыԥқәа	группы
Аканалқәа	каналы
Ицәуп	выключена
Аҭыҵра	Выход
Аҭыҵра	Выйти
АИҾЦӘАЖӘАҚӘА РҞЫНТӘИ АРДЫРГАҚӘА	ПОКАЗЫВАТЬ УВЕДОМЛЕНИЯ
Ардырга ада аицәажәарақәа	Чаты без уведомлений
изтәу	владелец
Алас	Быстрая
Aбжьы ацҵара	Включить уведомления
Еснагь	Всегда
Агәыԥқәа	Группы
%@ аҽалархәҩы	%@ участник 
%@ аҽалархәыҩцәа	%@ участников 
Алҵшәақәа	Результаты
АРДЫРГА	УВЕДОМЛЕНИЯ
Зегьы	Все
Аимадара	контакт
aканалқәа	канал
Ақьаадтрақәа	Папки
Аҿыцқәа	Новые
Иу(б)зааҳацҳоит %d:%.2d аамышьҭахь	Telegram отправит Вам SMS через %d:%.2d
У(б)еимадага аҷыдаԥхьаӡа	Ваш телефон
У(б)тәыла алх	Выберите страну
Иу(б)зааҳацҳаоит %1$d:%2$02d аамышьҭахь	Мы отправим Вам SMS через %1$d:%2$02d
Ҳау(б)засоит...	Звоним вам...
Азхьарԥш иашамзар ма иажәхьазар ҟалап.	Ссылка неверна или устарела.
У(бы)хьӡ	Ваше имя
Ахьӡ (ихарҭәаатәу)	Имя (обязательно)
Ажәла (ихарҭәаатәым)	Фамилия (необязательно)
Аицәажәара ҿыц	Новая беседа
Ауаа	Контакты
Иацы	вчера
Бзиала у(б)аабеит!	Добро пожаловать
Аацҳара аҩра азы,ҵаҟа арыӷьараҿы аҩыга дырга у(б)агәҭас.	Чтобы написать сообщение, нажмите на значок карандаша в правом нижнем углу.
Аацҳара аҩра азы,ҵаҟа арыӷьараҿы аҩыга дырга у(б)агәҭас.	Чтобы начать переписку, нажмите на один из контактов ниже.
Аимадара хазыԥшуеит...	Ожидание сети...
Аимадара...	Соединение...
Аиҿцәажәа маӡа ҿыц	Создать секретный чат
Аицәажәара маӡа аԥыхуп	Секретный чат отменён
 %s аицәажәара маӡа уа(ба)лиҵит.	Теперь Вы и %s в секретном чате. 
Аицәажәара маӡа уа(ба)цлеит.	Вы присоединились к секретному чату.
Аҭоурых рыцқьара	Очистить историю
Аҭоурых рыцқьоуп	История очищена.
Aбжьы ацҵара	Вкл. уведомления
Аицәажәара ныхуп	Чат удалён
Аилак ныхуп	Группа удалена.
Азаацҳага ныхуп	Канал удалён.
АԤЫХРА	ОТМЕНА
Зегь ныхны аҭыҵра	Удалить и выйти
Аицәажәара аныхра	Удалить чат
Аицәажәара алх	Выберите чат
Анашьҭра...	Переслать...
Аацҳарақәа	Сообщения
Ардырга арцәара	Отключить уведомления
%1$s ирцәазааит	Отключить на %1$s
Аҭоурых рыцқьоуп	История очищена
Ахықәцә адыркылара	Закрепить
Адхра	Открепить
ԥхьаҟа	ПРОДОЛЖИТЬ
Шәҩызцәа Telegram аҿы	Ваши контакты в Telegram
un1 иади(лы)ркылт «%1$s»	un1 закрепил(а) «%1$s»
un1 авидео ади(лы)ркылт	un1 закрепил(а) видео
un1 абжьынҵа ади(лы)ркылт	un1 закрепил(а) голосовое сообщение
un1 авидеонҵамҭа ади(лы)ркылт	un1 закрепил(а) видеосообщение
un1 иади(лы)ркылт %1$s	un1 закрепил(а) %1$s
un1 абжьынҵа ади(лы)ркылт	un1 закрепил(а) аудиофайл
Аилак еиҿкаауп	Канал создан
Азаацҳага асахьа ныхуп	Фото канала удалено
Изтәу	Владелец
Агәыԥ анапхгара	Управление группой
Аканал анапхгара	Управление каналом
дыҩуеит...	печатает...
%1$s дыҩуеит...	%1$s печатает...
%1$s иркьыԥхьуеит…	%1$s печатают...
Аацҳамҭа	Сообщение
Аацҳара ҿыц шәзааит	У вас новое сообщение
%1$s Уажәшьҭа телеграм дҭоуп!	%1$s теперь в Telegram!
Аҭак ҟаҵара	Ответить
дҭан	был(а)
Аҩызцәа рааԥхьара	Пригласить друзей
Азхьарԥш ахкьыԥхьаара	Копировать ссылку
Еицышәзеиԥшу аилакқәа	Общие группы
Ахархәаҩ ихьӡ	Имя пользователя
Ари ахьӡ аӡәы и(л)тәуп.	Такое имя пользователя занято.
Aзҵаара аҭира	Задать вопрос
Адырдырратә рдырга	Вибросигнал
Ардырга ҷыдақәа	Особые уведомления
Алашардырга	Светодиод
Адаҟьа ацҵара	Добавить аккаунт
Ауаа	контакты
Иухатәны аҟаҵара	Настроить
Аиҭардыргақәа	Повтор уведомлений
Ахархәаҩ ихьӡ	Логин
Абжьы агырхара	Выкл. звук
Ихыркәшатәума?	Завершить этот сеанс?
Агалереиаҿы аҭаҩра	Сохранить в галерею
Иаашьҭуп	Получено
Ацҵара	Добавить
Аус аанкыланы алҵра	Удалить и остановить
Асахьа аныхра	Удалить фото
Сақәшаҳаҭуп	OK
ԥхьаҟа	Продолжить
Абжьынҵа	Голосовое сообщение
%1$s аилак далау(б)ҵома?	Добавить %1$s в группу?
Аицәажәара анышәхар шәҭахыҵәҟоума?	Вы точно хотите удалить этот чат?
Хәыда-ԥсадоуп	Бесплатный
Ишәарҭам	Безопасный
Иӷәӷәоуп	Мощный
**Telegram** агьырҭ раасҭа иаҳа иласуп.	**Telegram** доставляет сообщения быстрее\nлюбого другого приложения.
**Telegram** хәыда-ԥсадоуп. Наӡаӡа. Ӡыргарада.	**Telegram** бесплатный навсегда. Без рекламы.\nБез абонентской платы.
**Telegram** ацәгьархәыцыҩцәа шәеицәажәарақәа иацәахьчоит.	**Telegram** не ограничивает размер\n Ваших медиафайлов и чатов.
Ҳалагап	Начать общение
Аиԥшьра	Соединение
Дҭаӡам	Не в сети
Абжьы агырхара	Выключить микрофон
Aбжьы ацҵара	Включить микрофон
Еиҭамҵуа аҵҳамҭа	%1$d закрепленное сообщение
Aԥыжәара	Приоритет
