Аӡымшьақәа Аӡымшьақәа, ҳапланетаҿы иааҟоу аӡқәа зегьы рахьтә х-процентк роуп иҟоу….	пресная вода составляет всего 3% от общих запасов воды на нашей планете.
Аха аӡымшьақәа хәы змам рхыҵхырҭақәа аҳамҭақәа маҷымкәа иҳадыргалоит.	Но бесценные источники пресной воды преподносят много сюрпризов.
Анс акә, арс акәу, иааидкыланы, Адгьыл аҿы иҟоу аԥсҭазаара зегьы аӡымшьоуп изхьыԥшу.	Вся жизнь на земле, в конечном счёте, зависит от пресной воды.
Аӡымшьа	ПРЕсНАя ВОДА
Амҩаԥгаҩ ДЕВИД АТТЕНБОРО	ведущий ДЭВИД АТТЕНБОРО
Маӡа рацәа зҵоу Венесуелатәи. Тепуи Абас иашьҭоуп аџьунглиақәа ирхагылоу ашьха хәҟьаҟьарақәа,	Таинственные Тэпуи Венесуэлы, так называют изолированные горные плато, которые возвышаются над джунглями.
Абарҭ ашьха хәҟьаҟьарақәа роуп Артур Конан-Доиль ироман «Ибжьаӡыз адунеи» аԥҵара игәы азыҳәо дҟазҵаз, аҩра далазгалаз,.	Именно эти плоские горы вдохновили Артура Конан Дойла на создание "затерянного мира".
Ари ароман аҭоурых шьақәгылаанӡатәи афантастикатә дунеи иазкуп.	Это роман о фантастической, доисторической земле.
Азқьышықәсақәа раԥхьа, зны афырҭын бааԥсқәеи ақәаршықәеи ирыхҟьаны ишьақәгылеит арҭ ахәҟьаҟьарақәа рҿы ахаҳәтә бааш џьашьақәқәа.	За многие тысячелетия ураганные ветры и проливные дожди воздвигли на плато причудливые каменные башни.
Ацәаакыра хылҩа-ԥсылҩаханы, аокеан иахыганы адәқәа рахь иаманы ицоит аԥша,	Влага испаряется с поверхности океана и переносится ветром на сушу.
Аҳауа цәаакы ашьхақәа ианрыдҳала ихьшәашәахоит, иԥсҭҳәахоит, қәаны илеиуеит, аӡымшьы злыҵуагьы иароуп.	Наталкиваясь на горы, влажный воздух охлаждается, превращается в облака, и, наконец, в дождь - источник пресной воды.
Ара, шамахамзар, ес-ҽны ақәа леиуеит кыдҵәаны.	Здесь почти каждый день идут проливные дожди.
Атропикатә қәаршҩы.	Тропические ливни.
Аӡымшьқәа абрантә, ашьха ҳаракқәа рҟынтә, рҿынархоит ныҟәара.	Путешествие пресной воды начинается здесь, высоко в горах.
Аӡыҷҷақәа еицыланы арҩашны идәықәлоит 100 км ала иныҟәаны, амшын ахь рхы рханы	Мелкие ручейки объединяются в могучие реки, которые стремятся к морю, пробегая сотни километров.
Аӡхыҽҽа Анхель. Адунеи аҿы зегь раасҭа иҳараку ӡхыҽҽоуп.	Водопад сальто Анхель - самый высокий в мире.
аӡы аҽеибаркны, хыхьынтә,, километрак аҟара аҳаракырантә илбааҽҽаны, атышахь илеиуеит аӡылбааҽҽа убри аҟара иҳаракуп, аҩысҭаа иеҩхаа аҵаҟынӡа изынаӡаӡом, уа инеиаанӡа аӡы .сабахоит	Поток воды низвергается в пропасть с почти километровой высоты.
Ашьхақәа рықәцәқәа рыҟнытә илбааҟьаны илеиуа аӡқәа даҽакала иаяьуп,	Высота водопада настолько велика, что вода не достигает дна "ущелья дьявола", а превращается в водяную пыль.
